Time (mins),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH)
-14.983,53.009,50.585,55.051,60.012,42.686,35.309,39.677,41.732,15.104,99.856,4.170,31.769,29.232,29.093,66.605,67.531,45.424,39.715,42.727,46.176,49.130,46.364,47.441,45.840,43.929,46.304,48.711,48.907,63.374,66.165,77.027,100.000,97.136,84.881,93.041,56.328,63.557,53.571,51.599,49.764,55.599,54.835,40.097,39.782,39.710,41.269,31.399,36.251,49.990,34.084,33.032,33.638,39.660,9.414,40.110,27.634,55.513,39.348,,48.450,49.838,49.990,53.642,53.232,56.920,,,,,,,,,,99.820,,,77.979,53.865,46.736,44.249,57.206,40.343,50.753,41.704,40.400,39.503,40.429,41.980,40.167,46.472,42.093,35.569,13.745,4.377,5.430,15.364,26.107,59.595,59.404,58.599,54.863,59.926,54.859,53.030,54.262,53.723,76.656,53.329,47.977,43.349,86.170,86.942,45.680,47.628,29.313
-14.967,54.805,50.616,55.777,60.131,41.145,34.192,42.832,44.969,15.046,98.344,8.297,37.430,32.599,34.117,67.323,72.110,47.987,40.355,44.939,46.056,48.746,46.599,48.319,45.747,44.975,47.213,49.517,49.202,62.172,65.655,75.914,98.978,94.872,84.064,90.420,56.595,63.585,52.437,50.543,49.346,53.656,53.052,44.322,44.603,43.619,45.408,37.670,40.476,53.689,41.498,40.473,30.724,38.136,9.006,39.352,26.361,52.783,37.856,,50.176,50.660,50.896,55.575,54.532,58.456,,,,,,,,,,99.385,,,78.188,52.386,47.275,45.029,56.983,45.501,54.757,46.791,44.662,44.261,46.272,46.915,46.058,50.763,46.982,41.064,10.687,2.783,3.407,12.526,22.324,59.969,59.645,59.280,56.834,59.847,55.581,53.436,55.356,55.362,76.623,53.224,48.228,43.333,86.331,86.461,45.399,47.097,29.169
-14.950,53.178,49.892,55.241,59.335,44.535,37.665,41.977,42.759,15.507,,2.750,34.309,26.823,28.995,67.341,68.785,44.176,37.465,40.883,42.848,45.967,48.944,49.759,47.886,48.009,50.720,52.072,52.234,62.178,65.898,75.370,97.473,93.946,83.368,92.025,56.330,63.371,53.663,50.457,49.127,53.102,52.771,42.266,43.280,42.875,43.986,32.442,35.562,52.369,35.676,32.799,28.852,36.887,7.235,37.157,24.135,50.748,35.812,,53.209,53.393,54.039,59.443,58.120,62.075,,,,,,,,,,97.333,,,77.733,52.516,48.708,47.058,56.477,44.134,53.076,44.871,43.798,42.531,45.751,44.453,44.557,50.344,47.055,34.716,8.874,1.939,2.616,10.931,19.299,62.516,62.530,61.371,58.740,60.528,56.556,54.946,56.137,56.438,76.206,52.748,48.168,43.042,85.107,85.561,45.174,47.235,29.205
-14.933,58.422,51.315,55.985,60.170,47.258,39.664,44.051,45.054,21.796,,0.000,29.607,22.894,25.025,67.317,69.227,42.995,35.975,40.896,41.418,45.187,48.715,51.057,49.073,48.642,51.295,53.208,52.402,61.766,65.492,75.210,98.339,94.392,83.735,90.631,58.496,64.369,53.801,52.181,49.696,55.378,54.735,43.542,43.788,44.448,46.032,28.420,31.532,46.103,30.075,28.030,27.139,37.085,6.113,35.817,21.542,47.582,33.602,,53.016,53.567,54.133,58.128,57.885,60.935,,,,,,,,,,98.950,,,77.290,55.734,45.998,43.926,58.319,45.987,54.465,47.365,45.137,45.415,46.414,46.852,47.880,51.949,48.463,29.211,6.391,0.874,1.286,9.452,16.579,62.814,61.692,62.209,57.541,62.736,55.511,54.968,55.512,56.624,76.249,52.832,47.798,43.036,88.116,85.847,45.225,47.271,29.087
-14.917,55.641,50.834,54.762,59.528,42.538,34.853,41.304,42.700,24.614,98.000,8.329,33.159,26.189,26.435,66.933,68.153,43.634,36.720,40.721,42.930,45.979,48.281,49.854,47.550,46.946,49.571,51.225,50.429,62.244,65.581,76.225,99.606,94.771,83.984,91.464,55.865,63.332,52.024,49.449,49.084,53.372,51.860,41.215,41.122,40.843,42.816,30.040,33.796,47.740,33.408,32.424,29.381,37.816,7.260,37.279,23.675,51.014,35.589,,51.561,52.116,51.601,56.056,55.634,59.713,,,,,,,,,,100.000,,,78.176,53.703,47.915,47.283,56.779,42.751,51.826,43.422,41.009,40.772,42.143,43.290,41.090,47.034,44.112,32.879,9.415,2.131,2.639,11.793,19.855,59.806,60.109,58.952,55.903,58.349,54.866,53.963,54.840,56.148,76.183,53.140,48.148,43.207,86.576,87.154,45.402,47.365,28.927
-14.900,53.804,50.180,54.481,59.362,36.958,29.186,41.410,42.702,34.120,93.451,13.846,35.085,33.741,31.804,66.717,65.576,39.386,33.593,37.401,38.916,41.930,48.065,49.583,47.314,46.581,49.797,50.617,50.166,62.080,65.574,75.324,97.031,94.774,83.111,91.152,55.355,62.697,52.018,48.333,48.816,50.393,50.958,41.519,41.662,41.514,41.953,34.022,35.770,45.329,38.592,40.498,26.771,35.891,5.033,34.316,19.745,48.095,32.252,,51.794,51.782,52.555,56.206,55.421,59.598,,,,,,,,,,,,,77.776,51.479,50.533,48.282,55.595,43.566,52.304,43.047,41.671,40.033,41.495,42.196,40.866,46.695,41.902,41.572,5.923,0.656,0.575,9.643,13.541,61.566,60.177,60.623,56.222,61.715,54.601,53.416,54.322,54.501,76.277,53.146,47.688,43.084,86.131,86.179,45.279,47.331,28.749
-14.883,54.530,50.424,54.644,59.763,45.702,35.944,37.399,37.848,23.736,84.123,20.744,45.726,43.386,44.464,66.535,66.434,39.132,33.567,38.925,40.091,43.089,48.082,50.144,47.165,46.876,49.641,51.435,50.904,61.921,64.906,75.117,96.795,93.772,84.408,90.432,56.028,63.082,52.478,49.528,49.325,51.547,52.109,36.121,37.099,36.011,37.936,48.375,48.853,56.915,51.561,52.144,27.987,36.048,5.418,34.956,21.632,49.440,33.193,,52.010,52.196,52.992,56.567,56.341,58.925,,,,,,,,,,98.969,,,77.125,52.859,49.357,47.658,56.202,36.922,48.030,38.452,36.273,36.984,36.560,37.969,37.106,42.312,37.429,53.919,8.618,1.654,1.997,11.598,18.880,60.821,62.568,61.018,57.430,60.340,56.596,54.129,55.233,54.429,75.829,53.020,47.628,43.059,84.827,83.978,45.071,46.954,28.833
-14.867,53.518,51.566,54.910,60.045,44.827,36.519,38.059,37.707,19.043,79.948,23.217,50.394,45.303,46.436,66.379,65.436,39.185,33.237,36.442,39.273,42.642,48.495,50.016,48.199,47.043,49.440,51.008,50.593,61.809,65.314,74.988,97.438,94.004,83.069,90.372,56.429,63.702,54.207,50.596,49.109,54.445,53.433,37.261,37.124,36.979,38.770,50.368,56.296,63.786,54.457,54.739,26.893,35.840,5.062,33.925,20.377,47.300,32.475,,51.677,52.271,52.287,56.128,56.394,59.328,,,,,,,,,,99.243,,,77.023,53.039,47.993,45.275,56.954,37.456,48.758,40.054,37.187,38.235,38.814,39.417,38.972,45.974,40.266,55.169,6.809,1.414,1.801,10.525,17.202,60.778,61.180,60.602,56.586,61.548,55.250,52.957,55.878,56.245,75.820,52.890,47.753,42.720,85.657,83.623,44.718,47.192,28.855
-14.850,51.919,50.226,53.783,59.545,45.394,37.320,40.220,40.527,13.836,91.475,8.643,42.716,33.911,33.743,66.368,65.281,41.429,36.261,39.060,43.170,45.112,46.662,47.715,47.475,44.894,46.496,48.692,48.957,61.258,64.805,74.995,97.335,93.296,83.338,90.252,56.500,63.401,53.402,49.496,48.418,53.132,52.120,38.691,39.834,39.435,40.201,38.804,45.802,62.310,39.807,37.167,30.143,38.277,7.208,37.039,23.640,51.881,35.571,,49.736,50.476,50.569,54.002,53.813,57.270,,,,,,,,,,99.315,,,76.946,51.679,49.069,47.366,56.017,40.478,50.693,41.180,40.071,40.290,40.175,39.689,40.446,46.956,41.319,38.850,10.704,2.465,3.492,13.356,20.525,59.860,57.610,58.985,55.959,58.596,55.004,52.739,54.955,54.727,75.691,52.439,47.900,43.326,88.474,85.003,44.961,47.068,28.772
-14.833,49.564,50.211,54.446,59.168,41.078,32.149,36.775,36.830,14.561,87.660,11.197,41.474,34.161,33.671,66.806,64.669,40.302,33.749,36.122,39.599,43.490,47.108,48.600,47.699,45.637,47.957,50.422,49.351,61.868,65.414,75.488,97.943,94.364,84.005,92.302,55.166,62.985,52.596,50.884,50.305,49.108,51.160,35.676,34.417,34.730,36.467,37.173,44.077,60.731,41.832,40.292,26.313,36.742,5.254,33.644,19.936,46.585,32.464,,51.804,51.764,51.488,56.043,55.015,57.662,,,,,,,,,,99.840,,,78.493,52.989,49.440,49.124,55.768,36.790,46.137,36.429,35.355,34.886,34.957,34.812,35.833,41.623,35.989,40.284,6.283,1.150,1.367,9.593,14.424,60.303,62.010,59.270,56.876,60.883,56.572,53.420,55.907,55.887,76.097,52.659,47.812,43.219,86.768,86.290,45.248,47.196,29.050
